msg_id,date,views,score,matched,promo_codes,discounts,prices,url,text
1826,2026-08-01T09:05:28,21.1K,3,поток(3),,,,https://t.me/postypashki_old/1826,"Гайд на собесы WB ML Наши выпускники прошлых потоков сейчас во всю ходят по собесам, по горячим следам составили эксклюзивный гайд на ML собесы WB с вопросами, ответами и задачами на код. Хоть WB сейчас и испытывает временные трудности из-за чего заморозил найм, отозвал офферы и отложил выходы на работу, но над ситуацией уже работают и за пару недель все вернется на круги своя. У WB куча денег, премии всегда насыпали с горкой, а проекты реально интересные. К тому же файл универсален для всех ком"
1828,2026-08-03T16:07:16,19K,5,старт(3);отзывы(1);отзыв(1),СНГ;США;ABBYY;ОАЭ,,,https://t.me/postypashki_old/1828,"Про опыт работы зарубежом Желания поработать зарубежом могут быть разные: опыт решения задач другого масштаба и формата, перестать быть привязанным к одному региону и валюте, способ познания мира и так далее. Но работа за границей - это не просто ""нашел вакансию, прошел собес и улетел"". Здесь две задачи: попасть в иностранную компанию, потом научиться в ней работать, расти и не вылететь при первом сокращении. Всего этого коснемся в посте. Принципы касаются и валютных удаленок, но в посте скорее "
1833,2026-08-07T14:22:16,16.4K,3,старт(3),,,,https://t.me/postypashki_old/1833,Слив алгоритмического собеса в Авито. Смотрим! Смотрим! https://www.youtube.com/watch?v=dO8fHARGgZY&sttick=0 Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито . Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!
1834,2026-08-08T06:05:37,15.4K,3,скидка(3),РВБ;РУДН;ИНН;RWB;ООО,10,,https://t.me/postypashki_old/1834,"Магистратура по e-commerce от РУДН и Wildberries — для тех, кто хочет развиваться в электронной коммерции Программа сочетает системный подход высшего образования РУДН и практику экспертов RWB — крупнейшего игрока российского e-commerce. Для поступающих — скидка 10% на первый год обучения при оплате до 13 августа. Также есть возможность оплатить первый семестр в рассрочку. Магистратура подойдет специалистам, которые хотят строить или развивать карьеру в электронной коммерции, предпринимателям и в"
1836,2026-08-09T10:32:11,18.2K,9,записаться(3);скидка(3);старт(3),ВТБ;MACHINE;СБЕР;АНАЛИТИКА;BACKEND,55,,https://t.me/postypashki_old/1836,"Дайджест вакансий Товарищи, собрали свежие стажировки и junior-вакансии по аналитике, ML и разработке. Сохраняйте и отправляйте резюме - ждать осеннего найма необязательно. 📌 АНАЛИТИКА → ВТБ — Стажёр в «Цифровые помощники» → Альфа-Банк — Стажёр в департамент продаж и развития малого и микробизнеса → Альфа-Банк — Стажёр в отдел разработки дебетовых продуктов → Ozon — Стажёр-аналитик в коммерцию → Ozon — Младший аналитик данных → Ozon — Стажёр продуктовый аналитик, Производство Fulfillment → МТС —"
1837,2026-08-09T15:35:40,19.7K,3,старт(3),СТАРТ;SQL;API,,,https://t.me/postypashki_old/1837,"Как найти стажировку зарубежом Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ , хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк. Зарубежные компании на технических собеседованиях проверяют плюс-минус те же темы: ⬇️ Аналитика — SQL, статистика, A/B-тесты, продуктовые метрики ⬇️ ML — классический ML/DL, метрики, Python ⬇️ Backend — сети, базы данных, API, основы разработки ⬇️ Алгоритмы — структуры данных и зада"
1838,2026-08-10T13:26:59,16.5K,10,скидки(3);старт(3);поток(3);отзыв(1),СТАРТ,,,https://t.me/postypashki_old/1838,"Из процесс-менеджера в продуктового аналитика Друзья, видим ваши вопросы, можно ли ещё взять СТАРТ по скидке. Поэтому п родлеваем распродажу до конца сегодняшнего дня , чтобы все успели 😎 А ниже оставляем отзыв нашей ученицы с текущего потока «Аналитики СТАРТ» . Ира пришла не из профильного вуза, работала процессным менеджером и хотела перейти в бигтех на продуктового аналитика. А сейчас уже получает приглашения и ходит на собеседования. Важно: следующий полноценный запуск линейки СТАРТ будет уж"
1840,2026-08-10T17:33:06,30.7K,12,наши курсы(3);записаться(3);скидки(3);старт(3),СТАРТ,,,https://t.me/postypashki_old/1840,"У России три пути: 18+, ***** и IT И кажется, у нас случился переход между карьерными треками… Нам неважно, какой у человека бэкграунд и чем он занимался раньше. Важно, куда он хочет прийти и что готов для этого делать. Наша студентка, Алина, решила кардинально сменить сферу, пришла на «СТАРТ» и теперь готовится к своей новой цели — получить оффер в Яндекс. Можно следить за успехами и учиться вместе с Алиной. На наши курсы старт , идут финальные 4 часа скидки . ➡️ Записаться"
1843,2026-08-11T15:50:13,18K,7,старт(3);поток(3);освоить(1),ПРО;МТС,30,,https://t.me/postypashki_old/1843,"Как искать работу в 2026 году Уже писал про прокачку профессионального рейтинга тут и про изи-вкат на стажировки тут . В этом посте продолжу тему и дам оценку традиционным способам поиска в новых реалиях. Head Hunter На рынке HH сейчас мало по-настоящему интересных вакансий для сеньоров, но достаточно неплохих Middle-позиций. Часто компании нанимают уверенного миддла, обещая в перспективе поднятие до Senior или Lead. Для джунов и стажеров на HH почти ничего нет, кроме ноунейм-компаний и учебных "
1859,2026-08-22T10:19:48,35.4K,6,старт(3);рефералка(2);освоить(1),SQL;MCP;ПРО;LLM;RAG,,,https://t.me/postypashki_old/1859,"Выходим на новый уровень с линейкой 1️⃣ 1️⃣ 1️⃣ Товарищи, если база уже есть, то следующий шаг — углубиться в специализацию, закрыть пробелы, освоить новые инструменты и стать сильнее как специалист. Для этого мы запускаем ПРО — углублённые карьерные курсы для тех, кто хочет качать карьеру и заработок! Для записи и вопросов — пишите менеджеру 📎 Курсы ПРО подойдут тем, кто: — уже знает основы и хочет глубже разобраться в своей специализации — хочет перейти с junior на middle и расти дальше — гото"
1860,2026-08-23T08:51:41,20.5K,7,старт(3);поток(3);отзыв(1),СНГ;ШАД;ААА;ПРО,,,https://t.me/postypashki_old/1860,"Анализ айти рынка В чате очень часто просят поделиться экспертизой по стоянию айти рынка на сегодняшнее время. Грубо говоря, к чему готовиться и что делать. В посте обсужу паттерны и тенденции, которые вижу я на опыте наших студентов и выпускников. От новичков требуют 2x Классический дэмпинг грейда: нанимаем миддла по цене стажера. Поясню на примере. Года два назад на вакансию того же мл стажера требовали классический мл и элементы DL. Сейчас же такие вакансии есть, но их прям очень мало. Теперь"
1863,2026-08-23T16:20:03,21.4K,7,записаться(3);разберем(1);освоить(1);отзывы(1);отзыв(1),SQL;ПРО;HTTP,,,https://t.me/postypashki_old/1863,"Полный цикл собесов на Go-разработчика в Авито В посте разберемся, как на самом деле устроен наём в Авито. Свёл официальный плейбук компании с внутренними методичками для интервьюеров по техническим секциям, которые предоставили наши выпускники. Получилась такая роудмапа: 4-5 встреч от первого созвона до оффера, и на каждом этапе могут разбить на несколько созвонов. Этап 1. Звонок с рекрутером Тут все по классике: обсуждение опыта, ожидания от новой работы, причины смены места. Можно и нужно зак"
1870,2026-08-28T16:05:59,19.6K,4,записаться(3);отзыв(1),,,,https://t.me/postypashki_old/1870,"Самые интересные события в ближайшее время. Все подобное вы можете обсудить в комментариях под этим постом или в нашем чате . 1. Стажировка Т-банк Для участия нужно заполнить анкету и решить экзамены до 6 сентября на ограниченное время. Разборы экзаменов и рекомендации по прохождению, подачи будут на соответствующих курсах . ➡️ Записаться Как гарантировано пройти на стажировку обязательно смотрим здесь . 2. Стажировка Яндекс Уже обновился контест на главную стажировку сезона. Для участия нужно р"
